time,open,high,low,close,vwap,volume,count
2026-07-14 01:00:00,62477.6,62564.0,62387.5,62462.1,62455.7,26.49559605,1877
2026-07-14 02:00:00,62462.1,62550.0,62260.0,62475.3,62424.1,29.0698041,1875
2026-07-14 03:00:00,62475.3,62523.1,62239.9,62504.5,62416.2,25.79215048,1482
2026-07-14 04:00:00,62504.6,62688.7,62473.7,62680.1,62582.3,24.69821039,1359
2026-07-14 05:00:00,62680.1,62800.0,62630.1,62639.9,62724.0,57.54653264,1419
2026-07-14 06:00:00,62640.0,62699.5,62503.7,62542.0,62597.0,17.14761045,1444
2026-07-14 07:00:00,62542.1,62574.6,62402.0,62471.4,62499.3,41.16436559,1405
2026-07-14 08:00:00,62471.4,62700.0,62418.5,62625.9,62507.0,28.94783538,1018
2026-07-14 09:00:00,62626.0,62670.1,62459.9,62549.0,62511.8,25.86657251,1089
2026-07-14 10:00:00,62549.1,62833.8,62537.5,62733.2,62706.9,29.69371982,1322
2026-07-14 11:00:00,62733.2,62847.3,62644.0,62774.8,62754.6,14.84423343,1229
2026-07-14 12:00:00,62774.8,63897.8,62709.3,63879.6,63384.1,336.49790092,5132
2026-07-14 13:00:00,63879.7,64095.5,63626.2,63785.7,63843.6,213.63240318,3834
2026-07-14 14:00:00,63785.7,64257.2,63542.1,64244.0,63887.5,160.5689285,3337
2026-07-14 15:00:00,64243.9,64881.2,64142.7,64668.5,64539.8,381.77356999,5788
2026-07-14 16:00:00,64678.0,64840.9,64563.8,64687.6,64725.4,159.42760303,3060
2026-07-14 17:00:00,64687.7,64687.7,64251.3,64581.1,64495.8,197.93411852,2900
2026-07-14 18:00:00,64585.8,64590.9,64438.9,64529.4,64513.1,41.57819862,1677
2026-07-14 19:00:00,64531.6,64645.5,64431.4,64515.7,64526.2,84.86423149,1972
2026-07-14 20:00:00,64515.7,64540.9,64390.9,64530.3,64451.9,77.3653469,1915
2026-07-14 21:00:00,64530.3,64858.5,64477.0,64620.0,64684.9,98.59521164,1642
2026-07-14 22:00:00,64620.0,65056.3,64484.4,64818.7,64732.0,328.50259447,3504
2026-07-14 23:00:00,64818.7,64983.6,64731.5,64977.2,64878.3,45.46489703,1763
2026-07-15 00:00:00,64983.5,65001.3,64732.1,64790.1,64853.8,31.01450421,2062
2026-07-15 01:00:00,64790.1,64798.0,64605.1,64624.2,64686.0,20.42841513,1682
2026-07-15 02:00:00,64624.2,64703.3,64433.3,64453.6,64498.1,43.10943407,1809
2026-07-15 03:00:00,64453.6,64777.0,64453.5,64741.2,64598.0,42.11987336,1709
2026-07-15 04:00:00,64738.3,64822.5,64671.3,64690.9,64740.7,49.39482824,1461
2026-07-15 05:00:00,64691.0,64888.0,64555.4,64883.4,64756.6,30.41731053,1270
2026-07-15 06:00:00,64883.4,65210.2,64790.9,64791.0,65017.1,94.65202094,2032
2026-07-15 07:00:00,64791.0,64830.8,64456.6,64506.9,64610.2,44.30272386,1788
2026-07-15 08:00:00,64506.9,64727.5,64506.9,64719.6,64595.1,31.90291309,1425
2026-07-15 09:00:00,64719.6,64860.7,64602.1,64603.6,64759.8,31.02428986,1210
2026-07-15 10:00:00,64603.6,64781.7,64579.3,64611.6,64686.5,14.77870579,1098
2026-07-15 11:00:00,64611.6,64690.9,64578.1,64690.8,64646.0,14.08731095,1162
2026-07-15 12:00:00,64690.9,65189.1,64560.0,65109.8,64786.5,136.58533051,3377
2026-07-15 13:00:00,65109.8,65495.0,64812.0,65040.7,65221.5,300.07456417,5737
2026-07-15 14:00:00,65040.7,65445.9,65016.3,65335.2,65284.3,98.70524712,3696
2026-07-15 15:00:00,65335.2,65513.8,65221.4,65369.4,65402.7,102.31859636,3184
2026-07-15 16:00:00,65369.4,65394.4,64737.3,65055.0,65030.9,219.93057457,4139
2026-07-15 17:00:00,65055.0,65134.3,64912.3,65009.2,65002.7,84.15718905,3113
2026-07-15 18:00:00,65009.2,65086.2,64787.1,64805.0,64925.8,107.00569074,2250
2026-07-15 19:00:00,64805.6,64959.3,64705.9,64926.0,64850.0,101.88685432,2029
2026-07-15 20:00:00,64926.0,65001.0,64877.2,64937.0,64940.9,17.74992476,1598
2026-07-15 21:00:00,64937.1,64972.6,64755.7,64787.8,64819.8,35.64223027,1771
2026-07-15 22:00:00,64787.9,64914.5,64755.6,64826.0,64857.5,48.09986404,1913
2026-07-15 23:00:00,64826.0,64897.3,64667.0,64709.4,64744.4,84.50885693,2045
2026-07-16 00:00:00,64709.4,64799.4,64440.9,64545.2,64574.0,109.197053,2713
2026-07-16 01:00:00,64545.2,64770.9,64358.9,64688.5,64508.1,55.9705448,2129
2026-07-16 02:00:00,64688.5,64689.5,64535.9,64597.2,64585.9,7.5747295,1564
2026-07-16 03:00:00,64597.2,64692.2,64515.4,64563.5,64625.7,22.63683351,1262
2026-07-16 04:00:00,64563.5,64641.4,64491.9,64569.2,64550.0,18.38399989,1184
2026-07-16 05:00:00,64569.3,64939.3,64554.0,64869.8,64754.8,23.2246234,1420
2026-07-16 06:00:00,64869.8,64914.1,64594.0,64715.4,64805.6,45.82690545,1254
2026-07-16 07:00:00,64715.4,64715.4,64050.8,64190.0,64203.5,117.18097051,2318
2026-07-16 08:00:00,64190.0,64293.0,63850.0,64075.0,64046.9,125.66088653,2541
2026-07-16 09:00:00,64075.0,64119.4,63974.1,64032.1,64039.5,64.47914599,1318
2026-07-16 10:00:00,64032.1,64210.7,64032.0,64167.9,64085.3,30.02924363,1039
2026-07-16 11:00:00,64168.0,64220.1,64050.3,64204.9,64140.1,21.76759293,1381
2026-07-16 12:00:00,64204.9,64204.9,63814.0,63910.0,63962.2,145.37845242,2334
2026-07-16 13:00:00,63910.1,64403.8,63910.1,64314.3,64183.9,175.70953153,2920
2026-07-16 14:00:00,64314.3,64796.0,64266.9,64480.6,64594.6,111.69665005,3327
2026-07-16 15:00:00,64480.7,64830.3,64259.2,64656.4,64586.2,50.997291,2956
2026-07-16 16:00:00,64655.4,64667.0,64303.4,64438.5,64433.8,41.18918753,2593
2026-07-16 17:00:00,64438.4,64438.4,63957.2,64030.7,64134.3,98.39917719,2791
2026-07-16 18:00:00,64030.8,64268.7,64008.1,64223.5,64117.9,77.19267086,2278
2026-07-16 19:00:00,64211.7,64237.5,64106.8,64215.9,64186.1,40.96985384,1774
2026-07-16 20:00:00,64216.0,64228.0,64061.9,64096.1,64112.9,73.47228653,1743
2026-07-16 21:00:00,64087.1,64188.8,64051.4,64097.6,64125.8,44.84932944,1474
2026-07-16 22:00:00,64097.6,64188.7,63903.9,63915.1,64055.4,35.8197994,1879
2026-07-16 23:00:00,63915.2,63965.2,63705.1,63789.5,63805.6,93.22380684,2318
2026-07-17 00:00:00,63789.6,63860.8,63576.2,63835.2,63720.9,100.46195797,2516
2026-07-17 01:00:00,63835.2,64007.5,63420.7,63495.0,63632.2,105.15253318,2773
2026-07-17 02:00:00,63495.1,63600.0,63353.9,63425.0,63474.1,29.41603215,2334
2026-07-17 03:00:00,63425.0,63648.7,63425.0,63511.4,63575.6,14.29431062,1377
